id,section,domain,keywords,language,title,speaker,channel,format,durationMinutes,url,platform,viewCount,sourceTier,recommendation,status,collectedOn,notes,videoId,focusArea,publishedAt,subtitleLanguages,subtitleTracks,subtitlesVerified,subtitleVerificationScope,metadataVerifiedVia,metadataVerificationStatus,lastVerifiedAt,lastVerificationAttemptAt,metadataVerificationError,publishedAtVerified,seriesId,seriesTitle,seriesOrder
ST-019,Interview,AI Research / Social Impact,AI for Science,English,Healthcare’s AI Future: A Conversation with Fei-Fei Li & Andrew Ng,Fei-Fei Li & Andrew Ng,Stanford HAI,In-depth Interview,64,https://www.youtube.com/watch?v=Gbnep6RJinQ,YouTube,44392,A | Official / Original Creator / Organizer,Core,Verified,2026-08-10,"Fei-Fei Li & Andrew Ng — 64-minute in-depth interview on Stanford HAI, centered on AI research and social impact. Core selection in the ScholarTube catalog; part of Stanford HAI Fireside Chats & Conversations, published 2021-04-29.",Gbnep6RJinQ,Other,2021-04-29,,,false,blocked by YouTube anti-bot verification on this network,YouTube privacy-enhanced embed player metadata,Partial,2026-08-13,2026-08-13,,true,stanford-hai-conversations,Stanford HAI Fireside Chats & Conversations,20210429
ST-020,Interview,Generative AI / Developers,Generative AI,English,Satya Nadella on AI: @NoPriorsPodcast  x Latent Space Crossover Special at Microsoft Build 2026,Satya Nadella on AI,Latent Space,Podcast Interview,41,https://www.youtube.com/watch?v=cFNI2FORAc0,YouTube,9448,A | Official / Original Creator / Organizer,Core,Verified,2026-08-10,"Satya Nadella on AI — 41-minute podcast interview on Latent Space, centered on generative AI and developers. Core selection in the ScholarTube catalog; part of Latent Space Interviews, published 2026-06-03.",cFNI2FORAc0,Other,2026-06-03,,,false,blocked by YouTube anti-bot verification on this network,YouTube privacy-enhanced embed player metadata,Partial,2026-08-13,2026-08-13,,true,latent-space-interviews,Latent Space Interviews,20260603
ST-021,Interview,AI Research / Social Impact,AI Education,English,2024 AI+Education Summit: Fireside Chat with Sal Kahn & Chris Piech,Sal Kahn & Chris Piech,Stanford HAI,Fireside Chat,48,https://www.youtube.com/watch?v=PZRNu9Ma9Ro,YouTube,4682,A | Official / Original Creator / Organizer,Core,Verified,2026-08-10,"Sal Kahn & Chris Piech — 48-minute fireside chat on Stanford HAI, centered on AI research and social impact. Core selection in the ScholarTube catalog; part of Stanford HAI Fireside Chats & Conversations, published 2024-02-14.",PZRNu9Ma9Ro,Other,2024-02-14,,,false,blocked by YouTube anti-bot verification on this network,YouTube privacy-enhanced embed player metadata,Partial,2026-08-13,2026-08-13,,true,stanford-hai-conversations,Stanford HAI Fireside Chats & Conversations,20240214
ST-022,Interview,MLOps / Applied AI,Robotics / Embodied AI; AI Systems / MLOps,English,Autonomous Mobile Robot Deployment: Interview with Jean Marc Alkazzi at idealworks,Jean Marc Alkazzi at idealworks,Weights & Biases,In-depth Interview,64,https://www.youtube.com/watch?v=98O-QxW2Xoo,YouTube,3560,A | Official / Original Creator / Organizer,Core,Verified,2026-08-10,"Jean Marc Alkazzi at idealworks — 64-minute in-depth interview on Weights & Biases, centered on MLOps and applied AI. Core selection for the Robotics shelf; part of Weights & Biases Interviews, published 2023-05-18.",98O-QxW2Xoo,Robotics,2023-05-18,,,false,blocked by YouTube anti-bot verification on this network,YouTube privacy-enhanced embed player metadata,Partial,2026-08-13,2026-08-13,,true,weights-and-biases-interviews,Weights & Biases Interviews,20230518
ST-023,Interview,MLOps / Applied AI,AI Systems / MLOps,English,Exploring PyTorch and Open-Source Communities: Interview with Soumith Chintala of Meta & PyTorch,Soumith Chintala of Meta & PyTorch,Weights & Biases,In-depth Interview,65,https://www.youtube.com/watch?v=2wprKvXnErE,YouTube,6983,A | Official / Original Creator / Organizer,Core,Verified,2026-08-10,"Soumith Chintala of Meta & PyTorch — 65-minute in-depth interview on Weights & Biases, centered on MLOps and applied AI. Core selection in the ScholarTube catalog; part of Weights & Biases Interviews, published 2023-07-13.",2wprKvXnErE,Other,2023-07-13,,,false,blocked by YouTube anti-bot verification on this network,YouTube privacy-enhanced embed player metadata,Partial,2026-08-13,2026-08-13,,true,weights-and-biases-interviews,Weights & Biases Interviews,20230713
ST-024,Interview,Robotics / Embodied AI,Robotics / Embodied AI,English,"Season 1 Ep.17 Peter Puchwein, KNAPP | The Robot Brains Podcast",To be added,The Robot Brains Podcast,Podcast Interview,75,https://www.youtube.com/watch?v=AHOw0huInzs,YouTube,6804,A | Official / Original Creator / Organizer,Core,Verified,2026-08-10,"75-minute podcast interview on The Robot Brains Podcast, centered on robotics and embodied AI. Core selection for the Robotics shelf; part of The Robot Brains Podcast, published 2021-07-24.",AHOw0huInzs,Robotics,2021-07-24,,,false,blocked by YouTube anti-bot verification on this network,YouTube privacy-enhanced embed player metadata,Partial,2026-08-13,2026-08-13,,true,robot-brains-podcast,The Robot Brains Podcast,20210724
ST-025,Interview,MLOps / Applied AI,Large Language Models; AI Systems / MLOps,English,Scaling LLMs and Accelerating Adoption: Interview with Aidan Gomez,Aidan Gomez,Weights & Biases,In-depth Interview,68,https://www.youtube.com/watch?v=sD24pZh7pmQ,YouTube,5543,A | Official / Original Creator / Organizer,Core,Verified,2026-08-10,"Aidan Gomez — 68-minute in-depth interview on Weights & Biases, centered on MLOps and applied AI. Core selection in the ScholarTube catalog; part of Weights & Biases Interviews, published 2023-04-20.",sD24pZh7pmQ,Other,2023-04-20,,,false,blocked by YouTube anti-bot verification on this network,YouTube privacy-enhanced embed player metadata,Partial,2026-08-13,2026-08-13,,true,weights-and-biases-interviews,Weights & Biases Interviews,20230420
ST-026,Interview,MLOps / Applied AI,AI Systems / MLOps; AI Education,English,Operationalizing Machine Learning: Interview with Shreya Shankar,Shreya Shankar,Weights & Biases,In-depth Interview,55,https://www.youtube.com/watch?v=LdMydLBDgEQ,YouTube,3801,A | Official / Original Creator / Organizer,Core,Verified,2026-08-10,"Shreya Shankar — 55-minute in-depth interview on Weights & Biases, centered on MLOps and applied AI. Core selection in the ScholarTube catalog; part of Weights & Biases Interviews, published 2023-03-02.",LdMydLBDgEQ,Other,2023-03-02,,,false,blocked by YouTube anti-bot verification on this network,YouTube privacy-enhanced embed player metadata,Partial,2026-08-13,2026-08-13,,true,weights-and-biases-interviews,Weights & Biases Interviews,20230302
ST-027,Interview,AI Research / Social Impact,AI Research,English,AI and the Economy: Fireside Chat,AI and the Economy,Stanford HAI,Fireside Chat,46,https://www.youtube.com/watch?v=VPliJ1rSmnA,YouTube,621,A | Official / Original Creator / Organizer,Core,Verified,2026-08-10,"46-minute fireside chat on Stanford HAI, centered on AI research and social impact. Core selection in the ScholarTube catalog; part of Stanford HAI Fireside Chats & Conversations, published 2022-05-25.",VPliJ1rSmnA,Other,2022-05-25,,,false,blocked by YouTube anti-bot verification on this network,YouTube privacy-enhanced embed player metadata,Partial,2026-08-13,2026-08-13,,true,stanford-hai-conversations,Stanford HAI Fireside Chats & Conversations,20220525
ST-028,Interview,AI Startups / Foundation Models,Foundation Models / World Models,English,From Note-Taking App to AI Workspace: The Simon Last Interview,From Note-Taking App to AI Workspace,"No Priors: AI, Machine Learning, Tech, & Startups",In-depth Interview,29,https://www.youtube.com/watch?v=1dYThQgOyZU,YouTube,6153,A | Official / Original Creator / Organizer,Core,Verified,2026-08-10,"From Note-Taking App to AI Workspace — 29-minute in-depth interview on No Priors: AI, Machine Learning, Tech, & Startups, centered on AI startups and foundation models. Core selection for the World Model shelf; part of No Priors, published 2026-03-12.",1dYThQgOyZU,World Model,2026-03-12,,,false,blocked by YouTube anti-bot verification on this network,YouTube privacy-enhanced embed player metadata,Partial,2026-08-13,2026-08-13,,true,no-priors-podcast,No Priors,20260312
ST-029,Interview,AI Research / Social Impact,AI for Science,English,Fireside Chat on AI and Neuroscience,To be added,"Wu Tsai Neurosciences Institute, Stanford",Fireside Chat,62,https://www.youtube.com/watch?v=G7zKx51604g,YouTube,762,A | Official / Original Creator / Organizer,Core,Verified,2026-08-10,"62-minute fireside chat on Wu Tsai Neurosciences Institute, Stanford, centered on AI research and social impact. Core selection in the ScholarTube catalog.",G7zKx51604g,Other,2024-10-28,,,false,blocked by YouTube anti-bot verification on this network,YouTube privacy-enhanced embed player metadata,Partial,2026-08-13,2026-08-13,,true,,,
ST-030,Interview,AI Research / Social Impact,AI for Science,English,Fireside Chat: Achieving America's AI Ambitions | Stanford Medicine's AI in Life Sciences Symposium,Fireside Chat,Stanford Medicine,Fireside Chat,29,https://www.youtube.com/watch?v=Vu5nKPRZRDs,YouTube,163,A | Official / Original Creator / Organizer,Core,Verified,2026-08-10,"Fireside Chat — 29-minute fireside chat on Stanford Medicine, centered on AI research and social impact. Core selection in the ScholarTube catalog; part of Stanford Medicine AI in Life Sciences Symposium, published 2026-06-10.",Vu5nKPRZRDs,Other,2026-06-10,,,false,blocked by YouTube anti-bot verification on this network,YouTube privacy-enhanced embed player metadata,Partial,2026-08-13,2026-08-13,,true,stanford-medicine-ai-life-sciences-symposium,Stanford Medicine AI in Life Sciences Symposium,20260610
ST-031,Interview,AI Startups / Foundation Models,Agents; Foundation Models / World Models,English,"Skill Issue: Andrej Karpathy on Code Agents, AutoResearch, and the Loopy Era of AI",Skill Issue,"No Priors: AI, Machine Learning, Tech, & Startups",In-depth Interview,67,https://www.youtube.com/watch?v=kwSVtQ7dziU,YouTube,952496,A | Official / Original Creator / Organizer,Core,Verified,2026-08-10,"Skill Issue — 67-minute in-depth interview on No Priors: AI, Machine Learning, Tech, & Startups, centered on AI startups and foundation models. Core selection for the World Model shelf; part of No Priors, published 2026-03-20 (~952k views).",kwSVtQ7dziU,World Model,2026-03-20,,,false,blocked by YouTube anti-bot verification on this network,YouTube privacy-enhanced embed player metadata,Partial,2026-08-13,2026-08-13,,true,no-priors-podcast,No Priors,20260320
ST-032,Interview,AI Research / Social Impact,AI for Science,English,Fireside Chat with Chris Boerner and Euan Ashley | Stanford Medicine's AI in Life Sciences Symposium,Chris Boerner and Euan Ashley,Stanford Medicine,Fireside Chat,35,https://www.youtube.com/watch?v=hhq9cYqz1-Y,YouTube,218,A | Official / Original Creator / Organizer,Core,Verified,2026-08-10,"Chris Boerner and Euan Ashley — 35-minute fireside chat on Stanford Medicine, centered on AI research and social impact. Core selection in the ScholarTube catalog; part of Stanford Medicine AI in Life Sciences Symposium, published 2026-06-10.",hhq9cYqz1-Y,Other,2026-06-10,,,false,blocked by YouTube anti-bot verification on this network,YouTube privacy-enhanced embed player metadata,Partial,2026-08-13,2026-08-13,,true,stanford-medicine-ai-life-sciences-symposium,Stanford Medicine AI in Life Sciences Symposium,20260610.01
ST-033,Interview,AI Industry / Startups,AI Industry,English,Connor Leahy Unveils the Darker Side of AI,To be added,Eye on AI,In-depth Interview,56,https://www.youtube.com/watch?v=tYGMfd3_D1o,YouTube,225993,A | Official / Original Creator / Organizer,Core,Verified,2026-08-10,"56-minute in-depth interview on Eye on AI, centered on AI industry and startups. Core selection in the ScholarTube catalog; part of Eye on AI, published 2023-05-10 (~226k views).",tYGMfd3_D1o,Other,2023-05-10,,,false,blocked by YouTube anti-bot verification on this network,YouTube privacy-enhanced embed player metadata,Partial,2026-08-13,2026-08-13,,true,eye-on-ai-podcast,Eye on AI,20230510
ST-034,Interview,Deep Learning / Research Trends,Deep Learning,English,"Google Researcher Shows Life ""Emerges From Code"" [Blaise Agüera y Arcas]",To be added,Machine Learning Street Talk,In-depth Interview,60,https://www.youtube.com/watch?v=rMSEqJ_4EBk,YouTube,77299,A | Official / Original Creator / Organizer,Core,Verified,2026-08-10,"60-minute in-depth interview on Machine Learning Street Talk, centered on deep learning and research trends. Core selection in the ScholarTube catalog; part of Machine Learning Street Talk Interviews, published 2025-10-21.",rMSEqJ_4EBk,Other,2025-10-21,,,false,blocked by YouTube anti-bot verification on this network,YouTube privacy-enhanced embed player metadata,Partial,2026-08-13,2026-08-13,,true,machine-learning-street-talk-interviews,Machine Learning Street Talk Interviews,20251021
ST-035,Interview,Robotics / Embodied AI,Robotics / Embodied AI,English,"S3 E9 Geoff Hinton, the ""Godfather of AI"", quits Google to warn of AI risks (Host: Pieter Abbeel)",To be added,The Robot Brains Podcast,In-depth Interview,62,https://www.youtube.com/watch?v=rLG68k2blOc,YouTube,112756,A | Official / Original Creator / Organizer,Core,Verified,2026-08-10,"62-minute in-depth interview on The Robot Brains Podcast, centered on robotics and embodied AI. Core selection for the Robotics shelf; part of The Robot Brains Podcast, published 2023-05-10 (~113k views).",rLG68k2blOc,Robotics,2023-05-10,,,false,blocked by YouTube anti-bot verification on this network,YouTube privacy-enhanced embed player metadata,Partial,2026-08-13,2026-08-13,,true,robot-brains-podcast,The Robot Brains Podcast,20230510
ST-036,Interview,Deep Learning / Research Trends,AI Education,English,Prof. Chris Bishop's NEW Deep Learning Textbook!,Professor Chris Bishop,Machine Learning Street Talk,In-depth Interview,83,https://www.youtube.com/watch?v=kuvFoXzTK3E,YouTube,132731,A | Official / Original Creator / Organizer,Core,Verified,2026-08-10,"Professor Chris Bishop — 83-minute in-depth interview on Machine Learning Street Talk, centered on deep learning and research trends. Core selection in the ScholarTube catalog; part of Machine Learning Street Talk Interviews, published 2024-04-10 (~133k views).",kuvFoXzTK3E,Other,2024-04-10,,,false,blocked by YouTube anti-bot verification on this network,YouTube privacy-enhanced embed player metadata,Partial,2026-08-13,2026-08-13,,true,machine-learning-street-talk-interviews,Machine Learning Street Talk Interviews,20240410
ST-037,Interview,Deep Learning / Research Trends,Deep Learning,English,KARL FRISTON - INTELLIGENCE 3.0,To be added,Machine Learning Street Talk,In-depth Interview,179,https://www.youtube.com/watch?v=V_VXOdf1NMw,YouTube,136079,A | Official / Original Creator / Organizer,Core,Verified,2026-08-10,"179-minute in-depth interview on Machine Learning Street Talk, centered on deep learning and research trends. Core selection in the ScholarTube catalog; part of Machine Learning Street Talk Interviews, published 2023-03-11 (~136k views).",V_VXOdf1NMw,Other,2023-03-11,,,false,blocked by YouTube anti-bot verification on this network,YouTube privacy-enhanced embed player metadata,Partial,2026-08-13,2026-08-13,,true,machine-learning-street-talk-interviews,Machine Learning Street Talk Interviews,20230311
